"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\40.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\41.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 22
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\42.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 5, 24
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\43.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 3, 74
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\44.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\45.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 6, 31
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\46.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 7, 42
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\47.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\48.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 9, 27
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\49.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test1.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test10.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
